Postal Code,Amount of Heka Apartments
00100,42
00160,229
00180,292
00210,44
00220,1022
00240,858
00260,51
00270,327
00280,130
00300,805
00320,110
00330,286
00350,278
00370,120
00380,637
00390,154
00400,1148
00410,1330
00420,1596
00430,481
00440,527
00500,35
00510,270
00520,347
00530,94
00540,305
00550,1145
00560,1043
00570,99
00580,290
00590,453
00600,1091
00610,1429
00620,209
00630,2318
00640,602
00650,174
00670,25
00680,51
00690,214
00700,1790
00710,1773
00720,1368
00730,1110
00740,675
00750,603
00760,204
00770,1747
00780,429
00790,673
00800,1932
00810,1161
00820,955
00840,201
00850,187
00870,1156
00880,67
00900,411
00910,508
00920,993
00930,1000
00940,4060
00950,211
00960,165
00970,1400
00980,2720
00990,316
